Мальчики,Девочки,Год
Александр,Анастасия,2000
Никита,Дарья,2001
Максим,Анна,2002
Даниил,Мария,2003
Александр,Анастасия,2004
Максим,Мария,2005
Вадим,София,2006
Александр,Анастасия,2007
Александр,Мария,2008
Александр,Мария,2009
Александр,Мария,2010
Александр,Анастасия,2011
Артём,София,2012
Александр,Мария,2013
Александр,София,2014
Александр,София,2015
Артём,София,2016
Александр,София,2017
Александр,Мария,2018
Александр,София,2019
Александр,София,2020
Александр,София,2021
Александр,София,2022
Михаил,София,2023
Михаил,София,2024
